date,merchant,amount,category
2025-09-14 23:48:46,Zomato,203,Restaurant
2025-09-15 07:01:46,Swiggy,128,Restaurant
2025-09-15 14:14:46,KFC,186,Restaurant
2025-09-15 21:27:46,McDonalds,489,Restaurant
2025-09-15 04:40:46,DMart,610,Market
2025-09-15 10:53:46,BigBazaar,892,Market
2025-09-16 18:06:46,Reliance,1327,Market
2025-09-16 01:19:46,Blinkit,1955,Market
2025-09-16 08:32:46,Starbucks,3308,Coffee
2025-09-16 15:45:46,CafeCoffeeDay,4546,Coffee
2025-09-16 21:58:46,Barista,213,Coffee
2025-09-16 05:11:46,OlaCabs,289,Transport
2025-09-17 12:24:46,Uber,319,Transport
2025-09-17 19:37:46,IRCTC,322,Transport
2025-09-17 01:50:46,Rapido,691,Transport
2025-09-17 09:03:46,Razorpay,938,Business
2025-09-17 16:16:46,Zoho,1278,Business
2025-09-17 23:29:46,Meesho,1927,Business
2025-09-18 06:42:46,Zomato,3143,Restaurant
2025-09-18 12:55:46,Swiggy,4575,Restaurant
2025-09-18 20:08:46,KFC,99,Restaurant
2025-09-18 03:21:46,McDonalds,229,Restaurant
2025-09-18 10:34:46,DMart,334,Market
2025-09-18 17:47:46,BigBazaar,306,Market
2025-09-19 00:00:46,Reliance,683,Market
2025-09-19 07:13:46,Blinkit,880,Market
2025-09-19 14:26:46,Starbucks,1453,Coffee
2025-09-19 21:39:46,CafeCoffeeDay,2086,Coffee
2025-09-19 03:52:46,Barista,3299,Coffee
2025-09-19 11:05:46,OlaCabs,4659,Transport
2025-09-20 18:18:46,Uber,147,Transport
2025-09-20 01:31:46,IRCTC,156,Transport
2025-09-20 08:44:46,Rapido,294,Transport
2025-09-20 14:57:46,Razorpay,450,Business
2025-09-20 22:10:46,Zoho,611,Business
2025-09-20 05:23:46,Meesho,831,Business
2025-09-21 12:36:46,Zomato,1464,Restaurant
2025-09-21 18:49:46,Swiggy,1960,Restaurant
2025-09-21 02:02:46,KFC,3298,Restaurant
2025-09-21 09:15:46,McDonalds,4628,Restaurant
2025-09-21 16:28:46,DMart,127,Market
2025-09-21 23:41:46,BigBazaar,171,Market
2025-09-22 05:54:46,Reliance,219,Market
2025-09-22 13:07:46,Blinkit,355,Market
2025-09-22 20:20:46,Starbucks,735,Coffee
2025-09-22 03:33:46,CafeCoffeeDay,916,Coffee
2025-09-22 10:46:46,Barista,1296,Coffee
2025-09-22 16:59:46,OlaCabs,1943,Transport
2025-09-23 00:12:46,Uber,3217,Transport
2025-09-23 07:25:46,IRCTC,4544,Transport
2025-09-23 14:38:46,Rapido,131,Transport
2025-09-23 20:51:46,Razorpay,188,Business
2025-09-23 04:04:46,Zoho,334,Business
2025-09-23 11:17:46,Meesho,367,Business
2025-09-24 18:30:46,Zomato,551,Restaurant
2025-09-24 01:43:46,Swiggy,1016,Restaurant
2025-09-24 07:56:46,KFC,1387,Restaurant
2025-09-24 15:09:46,McDonalds,2057,Restaurant
2025-09-24 22:22:46,DMart,3151,Market
2025-09-24 05:35:46,BigBazaar,4616,Market
2025-09-25 11:48:46,Reliance,60,Market
2025-09-25 19:01:46,Blinkit,241,Market
2025-09-25 02:14:46,Starbucks,255,Coffee
2025-09-25 09:27:46,CafeCoffeeDay,460,Coffee
2025-09-25 16:40:46,Barista,698,Coffee
2025-09-25 22:53:46,OlaCabs,922,Transport
2025-09-26 06:06:46,Uber,1417,Transport
2025-09-26 13:19:46,IRCTC,1969,Transport
2025-09-26 20:32:46,Rapido,3300,Transport
2025-09-26 03:45:46,Razorpay,4537,Business
2025-09-26 09:58:46,Zoho,60,Business
2025-09-26 17:11:46,Meesho,269,Business
2025-09-27 00:24:46,Zomato,238,Restaurant
2025-09-27 07:37:46,Swiggy,497,Restaurant
2025-09-27 13:50:46,KFC,614,Restaurant
2025-09-27 21:03:46,McDonalds,850,Restaurant
2025-09-27 04:16:46,DMart,1329,Market
2025-09-27 11:29:46,BigBazaar,1945,Market
2025-09-28 18:42:46,Reliance,3217,Market
2025-09-28 00:55:46,Blinkit,4591,Market
2025-09-28 08:08:46,Starbucks,156,Coffee
2025-09-28 15:21:46,CafeCoffeeDay,262,Coffee
2025-09-28 22:34:46,Barista,273,Coffee
2025-09-28 05:47:46,OlaCabs,341,Transport
2025-09-29 12:00:46,Uber,634,Transport
2025-09-29 19:13:46,IRCTC,920,Transport
2025-09-29 02:26:46,Rapido,1323,Transport
2025-09-29 09:39:46,Razorpay,2091,Business
2025-09-29 15:52:46,Zoho,3188,Business
2025-09-29 23:05:46,Meesho,4699,Business
2025-09-30 06:18:46,Zomato,214,Restaurant
2025-09-30 13:31:46,Swiggy,265,Restaurant
2025-09-30 20:44:46,KFC,198,Restaurant
2025-09-30 02:57:46,McDonalds,455,Restaurant
2025-09-30 10:10:46,DMart,702,Market
2025-09-30 17:23:46,BigBazaar,873,Market
2025-10-01 00:36:46,Reliance,1406,Market
2025-10-01 06:49:46,Blinkit,2106,Market
2025-10-01 14:02:46,Starbucks,3182,Coffee
2025-10-01 21:15:46,CafeCoffeeDay,4561,Coffee
2025-10-01 04:28:46,Barista,158,Coffee
2025-10-01 11:41:46,OlaCabs,197,Transport
2025-10-02 17:54:46,Uber,249,Transport
2025-10-02 01:07:46,IRCTC,463,Transport
2025-10-02 08:20:46,Rapido,716,Transport
2025-10-02 15:33:46,Razorpay,972,Business
2025-10-02 22:46:46,Zoho,1326,Business
2025-10-02 04:59:46,Meesho,2095,Business
2025-10-03 12:12:46,Zomato,3203,Restaurant
2025-10-03 19:25:46,Swiggy,4716,Restaurant
2025-10-03 02:38:46,KFC,238,Restaurant
2025-10-03 08:51:46,McDonalds,114,Restaurant
2025-10-03 16:04:46,DMart,238,Market
2025-10-03 23:17:46,BigBazaar,308,Market
2025-10-04 06:30:46,Reliance,620,Market
2025-10-04 13:43:46,Blinkit,932,Market
2025-10-04 19:56:46,Starbucks,1338,Coffee
2025-10-04 03:09:46,CafeCoffeeDay,1936,Coffee
2025-10-04 10:22:46,Barista,3174,Coffee
2025-10-04 17:35:46,OlaCabs,4665,Transport
2025-10-04 23:48:46,Uber,223,Transport
2025-10-05 07:01:46,IRCTC,180,Transport
2025-10-05 14:14:46,Rapido,234,Transport
2025-10-05 21:27:46,Razorpay,467,Business
2025-10-05 04:40:46,Zoho,667,Business
2025-10-05 10:53:46,Meesho,931,Business
2025-10-06 18:06:46,Zomato,1434,Restaurant
2025-10-06 01:19:46,Swiggy,2037,Restaurant
2025-10-06 08:32:46,KFC,3156,Restaurant
2025-10-06 15:45:46,McDonalds,4587,Restaurant
2025-10-06 21:58:46,DMart,75,Market
2025-10-06 05:11:46,BigBazaar,163,Market
2025-10-07 12:24:46,Reliance,370,Market
2025-10-07 19:37:46,Blinkit,443,Market
2025-10-07 01:50:46,Starbucks,677,Coffee
2025-10-07 09:03:46,CafeCoffeeDay,897,Coffee
2025-10-07 16:16:46,Barista,1461,Coffee
2025-10-07 23:29:46,OlaCabs,2069,Transport
2025-10-08 06:42:46,Uber,3229,Transport
2025-10-08 12:55:46,IRCTC,4669,Transport
2025-10-08 20:08:46,Rapido,142,Transport
2025-10-08 03:21:46,Razorpay,192,Business
2025-10-08 10:34:46,Zoho,236,Business
2025-10-08 17:47:46,Meesho,335,Business
2025-10-09 00:00:46,Zomato,670,Restaurant
2025-10-09 07:13:46,Swiggy,956,Restaurant
2025-10-09 14:26:46,KFC,1293,Restaurant
2025-10-09 21:39:46,McDonalds,2113,Restaurant
2025-10-09 03:52:46,DMart,3132,Market
2025-10-09 11:05:46,BigBazaar,4548,Market
2025-10-10 18:18:46,Reliance,79,Market
2025-10-10 01:31:46,Blinkit,260,Market
2025-10-10 08:44:46,Starbucks,220,Coffee
2025-10-10 14:57:46,CafeCoffeeDay,474,Coffee
2025-10-10 22:10:46,Barista,648,Coffee
2025-10-10 05:23:46,OlaCabs,982,Transport
2025-10-11 12:36:46,Uber,1286,Transport
2025-10-11 18:49:46,IRCTC,2018,Transport
2025-10-11 02:02:46,Rapido,3217,Transport
2025-10-11 09:15:46,Razorpay,4672,Business
2025-10-11 16:28:46,Zoho,159,Business
2025-10-11 23:41:46,Meesho,235,Business
2025-10-12 05:54:46,Zomato,244,Restaurant
2025-10-12 13:07:46,Swiggy,441,Restaurant
2025-10-12 20:20:46,KFC,542,Restaurant
2025-10-12 03:33:46,McDonalds,1004,Restaurant
2025-10-12 10:46:46,DMart,1454,Market
2025-10-12 16:59:46,BigBazaar,1949,Market
2025-10-13 00:12:46,Reliance,3294,Market
